会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
セラク,6199,サービス業,スタンダード（内国株式）,2024-08-31,東京都,21420777472,2.4645727,22221595000.0,2273862000.0,0.10304,1575719000.0,0.07153,0.21323,0.6440868789817161,9.1809845,4289508000.0,4124102000.0,10085344000.0,84902000.0,6896690000.0,468778000.0,6123980600.0,0.28588974457182575
インソース,6200,サービス業,プライム（内国株式）,2024-09-30,東京都,76721643520,6.812812,12474662000.0,4937091000.0,0.37303,3355877000.0,0.27433002,0.37714002,0.7539530733697946,15.879083,3242369000.0,3199330000.0,7405642000.0,,5705369000.0,169326000.0,4281801200.0,0.05580956042585048
豊田自動織機,6201,輸送用機器,プライム（内国株式）,2025-03-31,愛知県,5001408675840,1.016774,4084984000000.0,221695000000.0,0.0529,262312000000.0,0.06261,0.04838,0.5215819545974517,17.13612,4388235000000.0,1622284000000.0,3109426000000.0,1730082000000.0,378455000000.0,4081905000000.0,1578524500000.0,0.31561597987888534
豊和工業,6203,機械,スタンダード（内国株式）,2025-03-31,愛知県,14267787264,0.7594896,24827000000.0,1253000000.0,0.08359,749000000.0,0.03511,0.04891,0.5502334733194326,11.889447,15315000000.0,8416000000.0,21604000000.0,7968000000.0,2917000000.0,6530000000.0,10860000000.0,0.7611551671646791
石川製作所,6208,機械,スタンダード（内国株式）,2025-03-31,石川県,9746816000,1.7533392,16203896000.0,692602000.0,0.06508,423589000.0,0.03281,0.106029995,0.25844544111445505,,15453383000.0,13136089000.0,15992226000.0,8988328000.0,932830000.0,1414462000.0,1528966400.0,0.1568682942203895
リケンＮＰＲ,6209,機械,プライム（内国株式）,2025-03-31,東京都,81681408000,0.57410264,170340000000.0,11810000000.0,0.08225001,8756000000.0,0.05641,0.0664,0.6631240156132302,,64376000000.0,35726000000.0,105376000000.0,19337000000.0,28021000000.0,37109000000.0,66976300000.0,0.8199699495875488
ＴＯＹＯイノベックス,6210,機械,スタンダード（内国株式）,2025-03-31,兵庫県,13181306880,0.7957317,27024000000.0,-522000000.0,0.00265,-845000000.0,-0.01754,-0.02428,0.5683388704318937,6.9172935,12444000000.0,9156000000.0,21328000000.0,3480000000.0,4829000000.0,976000000.0,9567200000.0,0.7258157394481358
津田駒工業,6217,機械,スタンダード（内国株式）,2024-11-30,石川県,2229261312,1.0784986,36445000000.0,398000000.0,-0.02605,488000000.0,-0.00151,-0.02173,0.08974613248710829,1.5928799,27406000000.0,20386000000.0,19140000000.0,12454000000.0,2937000000.0,349000000.0,-8021700000.0,-3.5983668477174917
エンシュウ,6218,機械,スタンダード（内国株式）,2025-03-31,静岡県,3082767872,0.30214337,21886000000.0,-705000000.0,0.00598,-2261000000.0,-0.08586001,-0.16787,0.3480813095397826,,19435000000.0,9420000000.0,15249000000.0,11798000000.0,4440000000.0,13000000.0,-4176900000.0,-1.3549187527019875
島精機製作所,6222,機械,プライム（内国株式）,2025-03-31,和歌山県,33819899904,0.4411147,32520000000.0,-11915000000.0,0.0269,-14275000000.0,-0.37132,-0.1508,0.7817816005231125,15.839874,21667000000.0,17632000000.0,74205000000.0,9981000000.0,14129000000.0,6115000000.0,56818500000.0,1.6800315838096218
西部技研,6223,機械,スタンダード（内国株式）,2024-12-31,福岡県,33179738112,1.1340107,32069000000.0,4031000000.0,0.10918,3336000000.0,0.11016,0.12047,0.6989601588970674,,12838000000.0,11667000000.0,30710000000.0,1524000000.0,14442000000.0,501000000.0,18222700000.0,0.5492116887266648
ＪＲＣ,6224,機械,グロース（内国株式）,2025-02-28,大阪府,20328839168,4.0988245,11064571000.0,1378021000.0,0.20625,1078667000.0,0.11146,0.30628002,0.35453561361616903,,8400260000.0,5657748000.0,7455580000.0,4628927000.0,2431302000.0,216862000.0,-792876600.0,-0.0390025516679812
守谷輸送機工業,6226,機械,スタンダード（内国株式）,2025-03-31,神奈川県,82113118208,6.924694,19435433000.0,4092941000.0,0.24510999,2840888000.0,0.15545,0.29282,0.6682545527525938,66.33523,5702754000.0,4962623000.0,12726158000.0,28438000.0,5812420000.0,1091710000.0,7787601000.0,0.09483991315825199
ＡＩメカテック,6227,機械,スタンダード（内国株式）,2025-06-30,茨城県,29006977024,2.6712387,21005577000.0,2095320000.0,0.18341999,337742000.0,0.01604,0.0309,0.39677492748102144,18.837957,16512396000.0,12804041000.0,23649107000.0,8435304000.0,3647468000.0,,7136711000.0,0.24603429009838484
ジェイ・イー・ティ,6228,機械,スタンダード（内国株式）,2024-12-31,岡山県,10435449856,1.05622,17880000000.0,789000000.0,-0.22004999,318000000.0,-0.15989,-0.21777001,0.4891138048723079,,13023000000.0,8575000000.0,23824000000.0,7638000000.0,2887000000.0,,10801000000.0,1.0350296488454518
オーケーエム,6229,機械,スタンダード（内国株式）,2025-03-31,滋賀県,6679896576,0.65341854,10438263000.0,783574000.0,0.16348,553410000.0,0.05841,0.06409,0.7834027699121477,,2851245000.0,2298227000.0,8744524000.0,802917000.0,2055771000.0,243378000.0,6063643600.0,0.9077451321306206
ＳＡＮＥＩ,6230,機械,スタンダード（内国株式）,2025-03-31,大阪府,9389166592,0.66203403,28465447000.0,1883799000.0,0.03504,1254463000.0,0.0385,0.07335,0.5828050276420175,6.080641,9677716000.0,6976134000.0,15618110000.0,2795547000.0,2155225000.0,484999000.0,6279893300.0,0.6688445921654811
木村工機,6231,機械,スタンダード（内国株式）,2025-03-31,大阪府,39017127936,3.2427804,16042155000.0,3675847000.0,0.25327,2496235000.0,0.16215,0.2401,0.5301548566082428,13.50518,10425657000.0,4003030000.0,10689494000.0,4555534000.0,1598420000.0,67400000.0,311017000.0,0.00797129405604028
ＡＣＳＬ,6232,機械,グロース（内国株式）,2024-12-31,東京都,18239371264,31.085094,2655602000.0,-2293222000.0,-1.87636,-2371396000.0,-1.03291,-1.5669701,0.04256212500758778,-20.11194,4368655000.0,2129691000.0,3877782000.0,3559059000.0,1243580000.0,197577000.0,-352569100.0,-0.019330112584301853
ＫＬＡＳＳ,6233,機械,スタンダード（内国株式）,2024-09-30,兵庫県,2307314944,0.7587361,9781915000.0,115249000.0,-0.017970001,76273000.0,0.01946,0.06384,0.2897298088536315,7.2297297,7191051000.0,4443696000.0,5660335000.0,4136508000.0,1475557000.0,297625000.0,-1322378500.0,-0.5731244030810559
オプトラン,6235,機械,プライム（内国株式）,2024-12-31,埼玉県,64617222144,1.2291654,32405837000.0,6570315000.0,0.059499998,6351442000.0,0.14479999,0.07317,0.7206418350076877,9.244369,22437924000.0,14766410000.0,54571573000.0,5063284000.0,32531102000.0,430562000.0,32435042400.0,0.5019566196720473
イワキポンプ,6237,機械,プライム（内国株式）,2025-03-31,東京都,54779240448,1.4738257,45763291000.0,5845158000.0,0.11431,4468172000.0,0.09593,0.12504,0.6996349842699511,10.940813,16040846000.0,12105740000.0,37405328000.0,2757011000.0,8801530000.0,2161607000.0,22877606900.0,0.41763278776595864
フリュー,6238,機械,プライム（内国株式）,2025-03-31,東京都,28491055104,1.3068768,44305986000.0,2239490000.0,0.06957,1627341000.0,0.03729,0.07665,0.7977108961086251,9.661489,5686443000.0,5362082000.0,22393180000.0,278403000.0,11733051000.0,14477000.0,16716870900.0,0.5867410258756277
ナガオカ,6239,機械,スタンダード（内国株式）,2024-06-30,大阪府,10435851264,1.3920653,9505480000.0,1682453000.0,0.21195999,1150692000.0,0.108780004,0.13374,0.682739480788686,,3252986000.0,3095845000.0,7670230000.0,319961000.0,2537659000.0,120600000.0,4501664000.0,0.4313652893395626
ヤマシンフィルタ,6240,機械,プライム（内国株式）,2025-03-31,神奈川県,52502323200,2.414214,20104378000.0,2630363000.0,0.12951,1723239000.0,0.08605,0.08081,0.8490018919391442,34.9884,4022968000.0,3389226000.0,14434181000.0,319533000.0,6014576000.0,,10411213000.0,0.19830004398738682
